 2020-04-02 01:42:26,949 [P1284/D21/T33] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2020-04-01 01:42:26
 2020-04-02 12:04:24,917 [P1120/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.4 application starting on YANNIS
 2020-04-02 12:04:25,221 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2020-04-02 12:04:25,244 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 24ms)
 2020-04-02 12:04:25,585 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2020-04-02 12:04:27,944 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 2358ms)
 2020-04-02 12:04:28,022 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2020-04-02 12:04:28,030 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
 2020-04-02 12:04:28,031 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2020-04-02 12:04:28,074 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 43ms)
 2020-04-02 12:04:28,103 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2020-04-02 12:04:28,137 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 33ms)
 2020-04-02 12:04:28,141 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2020-04-02 12:04:28,236 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 94ms)
 2020-04-02 12:04:28,477 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2020-04-02 12:04:28,486 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 8ms)
 2020-04-02 12:04:28,489 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2020-04-02 12:04:28,501 [P1120/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 11ms)
 2020-04-02 12:04:33,935 [P1120/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2020-04-02 12:04:36,476 [P1120/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2020-04-02 12:04:36,484 [P1120/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2020-04-02 12:04:36,998 [P1120/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2020-04-02 12:04:37,493 [P1120/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2020-04-02 12:04:37,493 [P1120/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2020-04-02 12:04:37,555 [P1120/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 12877ms)
 2020-04-02 12:04:38,745 [P1120/D2/T5] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:50204/umbraco (UmbracoModule request)
 2020-04-02 12:04:39,429 [P1120/D2/T5] INFO  umbraco.content - Load Xml from file...
 2020-04-02 12:04:39,566 [P1120/D2/T5] INFO  umbraco.content - Loaded Xml from file.
 2020-04-02 12:04:42,193 [P1120/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2020-04-02 12:04:42,223 [P1120/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 30ms)
 2020-04-02 12:04:42,546 [P1120/D2/T5] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2020-04-02 12:04:42,611 [P1120/D2/T5] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 65ms)
 2020-04-02 12:04:50,948 [P1120/D2/T5] WARN  Umbraco.Web.Mvc.RenderRouteHandler - The current Document Type home matches a locally declared controller of type UmbracoRetro.Controllers.HomeController. Custom Controllers for Umbraco routing must implement 'Umbraco.Web.Mvc.IRenderController' and inherit from 'System.Web.Mvc.ControllerBase'.
 2020-04-02 12:05:35,592 [P1120/D2/T5] WARN  Umbraco.Web.UmbracoModule - Status code is 404 yet TrySkipIisCustomErrors is false - IIS will take over.
 2020-04-02 12:05:39,802 [P1120/D2/T14] INFO  umbraco.BusinessLogic.Log - Log scrubbed.  Removed all items older than 2020-04-01 12:05:39
 2020-04-02 12:11:31,217 [P1120/D2/T20] WARN  Umbraco.Web.Mvc.RenderRouteHandler - The current Document Type blog matches a locally declared controller of type UmbracoRetro.Controllers.BlogController. Custom Controllers for Umbraco routing must implement 'Umbraco.Web.Mvc.IRenderController' and inherit from 'System.Web.Mvc.ControllerBase'.
 2020-04-02 12:11:31,448 [P1120/D2/T5] WARN  Umbraco.Web.Mvc.RenderRouteHandler - The current Document Type blog matches a locally declared controller of type UmbracoRetro.Controllers.BlogController. Custom Controllers for Umbraco routing must implement 'Umbraco.Web.Mvc.IRenderController' and inherit from 'System.Web.Mvc.ControllerBase'.
 2020-04-02 12:13:20,041 [P1120/D2/T13] WARN  Umbraco.Web.Mvc.RenderRouteHandler - The current Document Type blog matches a locally declared controller of type UmbracoRetro.Controllers.BlogController. Custom Controllers for Umbraco routing must implement 'Umbraco.Web.Mvc.IRenderController' and inherit from 'System.Web.Mvc.ControllerBase'.
